Day; Qtd; Positive; Neutral; Negative; Polarity;Positivo/Negativo;Bovespa;up/down;NYSE;up/down;NASDAQ;up/down;Dow Jones;up/down
mar/20;183;90;60;33;18.877.994.815.153.000;positivo;;;;;;;;
mar/23;526;264;175;87;39.456.530.800.688.400;positivo;-3499;down;-356;down;-19;down;-582.05;down
mar/24;148;81;49;18;19.945.569.006.527.800;positivo;6159;up;881;up;557;up;2112.98;up
mar/25;153;74;56;23;18.677.917.607.295.000;positivo;5227;up;303;up;-33;down;495.64;up
mar/26;127;69;39;19;18.231.051.098.785.400;positivo;2754;up;575;up;413;up;1351.62;up
mar/27;140;77;38;25;16.182.233.998.278.900;positivo;-4281;down;-349;down;-295;down;-915.39;down
mar/30;285;147;88;50;33.435.154.383.774.500;positivo;1211;up;247.5;up;271;up;690.70;up
mar/31;99;56;29;14;12.971.196.606.128.200;positivo;-1620;down;-132;down;-74;down;-410.32;down
Apr 01;117;59;43;15;14.415.367.138.648.300;positivo;-2053;down;-457;down;-340;down;-973.65;down
Apr 02;112;57;39;16;12.222.498.957.646.300;positivo;1286;up;217;up;126;up;469.92;up
Apr 03;111;59;32;20;1.350.379.283.910.530;positivo;-2715;down;-182;down;-114;down;-360.91;down
Apr 06;267;147;73;47;38.095.194.001.600.100;positivo;4535;up;634;up;540;up;1627.46;up
Apr 07;92;46;26;20;8.361.872.467.809.960;positivo;2285;up;22;up;-26;down;-26.13;down
Apr 08;68;40;16;12;10.638.572.668.650.700;positivo;2267;up;365;up;203;up;779.71;up
Apr 09;70;34;25;11;83.056.555.792.298;positivo;-943;down;234;up;62;up;285.79;up
Apr 13;290;161;88;41;51.352.223.579.733.200;positivo;1154;up;-187;down;39;up;-328.59;down
Apr 14;45;23;16;6;6.113.276.707.739.590;positivo;1082;up;222;up;323;up;558.99;up
Apr 15;43;23;12;8;4.193.944.805.194.800;positivo;-1087;down;-328;down;-122;down;-445.41;down
Apr 16;72;32;32;8;786.513.888.888.889;positivo;-1019;down;-26;down;139;up;33.33;up
Apr 17;68;39;20;9;10.146.425.918.880.000;positivo;1178;up;390;up;117;up;704.81;up
Apr 20;488;209;150;129;46.317.934.829.836.600;positivo;-17;down;204;down;-89;down;-592.05;down
Apr 22;279;128;86;65;28.984.379.960.317.400;positivo;1714;up;-297;down;-297;up;-631.55;down
Apr 23;154;74;48;32;1.804.532.667.745;positivo;-1014;down;202;up;232;up;456.93;up
Apr 24;128;64;41;23;14.716.607.330.160.800;positivo;-4342;down;8;up;-1;up;39.43;up
Apr 25;161;90;49;22;2.250.473.730.045.990;positivo;2908;up;101;up;140;up;260.00;up
Apr 28;199;101;65;33;20.813.360.643.262.900;positivo;3073;up;247;up;95;up;358.50;up
Apr 29;264;123;88;53;27.763.397.156.084.600;positivo;1859;up;55;up;-122;down;-32.22;down
Apr 30;262;152;64;46;35.935.937.757.678.800;positivo;-2665;down;298;up;306;up;532.30;up
May 04;1189;596;372;221;66.746.333.109.437.800;positivo;-1630;down;-246;down;-25;down;-288.13;down
May 05;350;173;103;74;4.478.010.897.667.140;positivo;595;up;314;down;-284;down;-622.03;down
May 06;328;173;91;64;4.455.709.408.068.780;positivo;-407;down;2;down;106;up;26.07;up
May 08;304;167;93;44;44.231.913.722.273.100;positivo;2144;up;-135;down;45;up;-218.44;down
May 11;732;381;211;140;31.047.521.465.155.900;positivo;-1198;down;121;up;125;up;211.25;up
May 12;273;122;73;78;2.150.706.539.608.390;positivo;-1193;down;232;up;141;up;455.42;up
May 13;250;126;77;47;29.448.320.256.132.700;positivo;-100;down;-73;down;71;up;-109.33;down
May 14;324;168;87;69;3.575.477.519.669.480;positivo;1239;up;-226;down;-190;down;-457.21;down
May 15;335;187;87;61;4.386.135.380.688.670;positivo;-1454;down;-226;down;-139;down;-516.80;down
May 18;713;365;218;130;87.008.043.151.972.800;positivo;3637;up;98;up;80;up;377.36;up
May 19;236;118;75;43;27.546.085.821.007.600;positivo;-452;down;20;up;70;up;60.08;up
May 20;229;135;57;37;3.501.818.688.964.390;positivo;577;up;455;up;220;up;911.94;up
May 21;245;138;64;43;3.240.248.897.080.920;positivo;1708;up;-153;down;-49;down;-390.50;down
May 22;89;31;23;35;4.646.383.512.321.010;negativo;;down;;down;;down;;down
